iter	RMSE
169	4.962299914
170	4.957869931
171	4.955167611
172	4.951789604
173	4.94855254
174	4.948187843
175	4.945365961
176	4.942490803
177	4.936863324
178	4.932294637
179	4.928459978
180	4.925018716
181	4.919664582
182	4.916260353
183	4.911577573
184	4.905459255
185	4.900851512
186	4.896678605
187	4.893724651
188	4.889629155
189	4.887340536
190	4.882450194
191	4.878424334
192	4.874424744
193	4.872975405
194	4.869560057
195	4.867639818
196	4.861822747
197	4.85721861
198	4.85488157
199	4.851414557
200	4.849159862
201	4.845860011
202	4.842567203
203	4.837304505
204	4.832435278
205	4.828427991
206	4.825798674
207	4.821801935
208	4.817210749
209	4.816717176
210	4.81477806
211	4.809668455
212	4.806845671
213	4.806632765
214	4.802997665
215	4.80048352
216	4.799164869
217	4.796646877
218	4.794511483
219	4.790502763
220	4.789164654
221	4.78485629
222	4.77946764
223	4.779017808
224	4.777736838
225	4.771521581
226	4.770218643
227	4.76842321
228	4.765027234
229	4.762231252
230	4.760247313
231	4.753695728
232	4.752087349
233	4.75027875
234	4.747166233
235	4.744029657
236	4.74158703
237	4.740424643
238	4.735409879
239	4.733504336
240	4.729883472
241	4.727180795
242	4.725670391
243	4.723434065
244	4.722196535
245	4.717705373
246	4.71413728
247	4.706602248
248	4.704177656
249	4.700730477
250	4.697296982
251	4.693828548
252	4.689658803
253	4.688666864
254	4.684940916
255	4.684589123
256	4.683250728
257	4.680171325
258	4.678998201
259	4.672735326
260	4.669023967
261	4.666115558
262	4.663337961
263	4.660412002
264	4.657485451
265	4.654592476
266	4.64842709
267	4.646494632
268	4.641462779
269	4.640662224
270	4.639116014
271	4.636185847
272	4.632642252
273	4.62461724
274	4.62190265
275	4.618464981
276	4.617390667
277	4.613802829
278	4.609079534
279	4.60731377
280	4.604610982
281	4.603571418
282	4.600215424
283	4.599866564
284	4.598559384
285	4.597149008
286	4.59527628
287	4.587527248
288	4.581491998
289	4.580432862
290	4.576960334
291	4.575633691
292	4.573059722
293	4.570714589
294	4.565566858
295	4.562643547
296	4.560999585
297	4.559100106
298	4.556344481
299	4.551221047
300	4.549680317
301	4.544915151
302	4.542380865
303	4.541790384
304	4.540378054
305	4.538754194
306	4.535443865
307	4.532443649
308	4.530271561
309	4.529195658
310	4.528321179
311	4.526050144
312	4.521573227
313	4.519019617
314	4.518635831
315	4.517993033
316	4.516705048
317	4.513395271
318	4.506699396
319	4.505807064
320	4.499652317
321	4.496007395
322	4.490068569
323	4.485868424
324	4.482025835
325	4.47958765
326	4.474279708
327	4.473115326
328	4.471746492
329	4.469238885
330	4.465044422
331	4.463573399
332	4.460815881
333	4.456073451
334	4.452310434
335	4.451413406
336	4.447151853
337	4.441289055
338	4.435696132
339	4.431061314
340	4.425104516
341	4.423535102
342	4.421160121
343	4.420887097
344	4.414057525
345	4.411700848
346	4.406309144
347	4.405826992
348	4.400877453
349	4.40024904
350	4.398206161
351	4.39612265
352	4.392554599
353	4.391994573
354	4.385405295
355	4.382204246
356	4.377089096
357	4.3736844
358	4.37051572
359	4.366032798
360	4.365496756
361	4.36087471
362	4.356074963
363	4.351709245
364	4.349799693
365	4.346851552
366	4.346231954
367	4.345910492
368	4.345257891
369	4.342779076
370	4.341172584
371	4.335667184
372	4.334447434
373	4.332598595
374	4.33199064
375	4.327153966
376	4.32186424
377	4.319812272
378	4.315851174
379	4.312909656
380	4.312600758
381	4.309838202
382	4.309308729
383	4.308749732
384	4.304229113
385	4.303523043
386	4.301718856
387	4.301150882
388	4.29676662
389	4.292269874
390	4.290336968
391	4.284763487
392	4.282286988
393	4.282003802
394	4.276622283
395	4.273149623
396	4.270664367
397	4.268465624
398	4.264562778
399	4.262734446
400	4.260065664
401	4.257056899
402	4.254558644
403	4.250679962
404	4.246908781
405	4.243924939
406	4.240973919
407	4.236999697
408	4.233810959
409	4.233328347
410	4.233073649
411	4.230411169
412	4.229977421
413	4.225726961
414	4.221456899
415	4.217196289
416	4.213149356
417	4.212190301
418	4.209100705
419	4.20713497
420	4.201416301
421	4.19957758
422	4.197008096
423	4.193187265
424	4.188177454
425	4.186506357
426	4.183341965
427	4.181556605
428	4.180428764
429	4.178174574
430	4.177197707
431	4.175904307
432	4.173497872
433	4.16901944
434	4.168311832
435	4.163302199
436	4.160204807
437	4.160078202
438	4.159254328
439	4.156735161
440	4.155162588
441	4.153230898
442	4.148739807
443	4.145017944
444	4.141687617
445	4.136023014
446	4.130981496
447	4.128582723
448	4.125107692
449	4.124087762
450	4.122595547
451	4.116987934
452	4.115153583
453	4.111622115
454	4.107886487
455	4.10447893
456	4.100285711
457	4.096176196
458	4.093129988
459	4.091041379
460	4.084312449
461	4.082909986
462	4.079627304
463	4.077507277
464	4.076252843
465	4.076139263
466	4.073483899
467	4.071370303
468	4.070339594
469	4.066698291
470	4.064938835
471	4.064287118
472	4.061444767
473	4.057064395
474	4.055212932
475	4.052453674
476	4.049918845
477	4.047720641
478	4.047523788
479	4.043637604
480	4.041560045
481	4.03530096
482	4.032784497
483	4.03262065
484	4.028153671
485	4.023993142
486	4.023354815
487	4.020707395
488	4.019962149
489	4.017870229
490	4.015149345
491	4.012734195
492	4.010133193
493	4.007191607
494	4.00394986
495	4.001275961
496	3.999743974
497	3.997638884
498	3.99396506
499	3.989546711
500	3.986163695
501	3.984422669
502	3.980576053
503	3.977692506
504	3.975363161
505	3.972473956
506	3.970443397
507	3.968484596
508	3.966424698
509	3.96510618
510	3.960715047
511	3.957275143
512	3.957089297
513	3.955812741
514	3.953623078
515	3.951697763
516	3.948089293
517	3.944331661
518	3.942237998
519	3.937256163
520	3.933422317
521	3.930968543
522	3.928813286
523	3.926727007
524	3.921948382
525	3.921574816
526	3.921271149
527	3.920867539
528	3.920441748
529	3.919463685
530	3.918459547
531	3.916077135
532	3.914599743
533	3.912858594
534	3.908266391
535	3.903315154
536	3.900397502
537	3.895909729
538	3.892768806
539	3.892663862
540	3.890897256
541	3.886191272
542	3.884590598
543	3.883674032
544	3.881697112
545	3.879077935
546	3.875428092
547	3.872173574
548	3.871377719
549	3.867755197
550	3.863841589
551	3.862119212
552	3.858317349
553	3.856658859
554	3.854455336
555	3.852480014
556	3.84815498
557	3.845435709
558	3.841922821
559	3.838768304
560	3.838434941
561	3.835362317
562	3.833540353
563	3.830066767
564	3.828342444
565	3.826891003
566	3.82579574
567	3.822512942
568	3.822048978
569	3.817863917
570	3.815449513
571	3.815144862
572	3.811532809
573	3.809965952
574	3.809466119
575	3.806978015
576	3.804130851
577	3.803959652
578	3.800501084
579	3.797560602
580	3.794587917
581	3.790971816
582	3.789450242
583	3.787478896
584	3.787325613
585	3.785050222
586	3.78292354
587	3.779621159
588	3.777820514
589	3.777723233
590	3.773887996
591	3.772418035
592	3.772247888
593	3.769328639
594	3.765719555
595	3.761784669
596	3.758853565
597	3.755337003
598	3.754992381
599	3.754381568
600	3.753804018
601	3.752901695
602	3.751138712
603	3.747500153
604	3.744753096
605	3.741396583
606	3.740225789
607	3.737498263
608	3.734874816
609	3.731440831
610	3.731338094
611	3.727656284
612	3.727334489
613	3.724088007
614	3.720355393
615	3.717905182
616	3.714891788
617	3.71145486
618	3.710216993
619	3.708463259
620	3.706393259
621	3.704126269
622	3.703097983
623	3.701219242
624	3.697102897
625	3.693670047
626	3.693509492
627	3.691196052
628	3.6881399
629	3.68258818
630	3.679834928
631	3.676932476
632	3.675720994
633	3.675588314
634	3.675033781
635	3.674899245
636	3.673142407
637	3.67284271
638	3.671084807
639	3.668515715
640	3.668430393
641	3.666090699
642	3.664388359
643	3.662234091
644	3.661671554
645	3.660915034
646	3.659213759
647	3.658057367
648	3.654897092
649	3.651541694
650	3.651461131
651	3.650911246
652	3.648499826
653	3.64842499
654	3.646049057
655	3.643364268
656	3.641131647
657	3.638610061
658	3.636589837
659	3.636328822
660	3.634529595
661	3.631590134
662	3.62861013
663	3.628313209
664	3.623117669
665	3.622049619
666	3.621743466
667	3.620757808
668	3.617159297
669	3.614593254
670	3.613444555
671	3.610185389
672	3.607962708
673	3.603448152
674	3.60121461
675	3.598949254
676	3.596706114
677	3.594948461
678	3.592416949
679	3.589243439
680	3.58898274
681	3.586853206
682	3.585446869
683	3.582452881
684	3.579935403
685	3.579803245
686	3.579739933
687	3.578167607
688	3.57689715
689	3.57541035
690	3.574639648
691	3.572634089
692	3.570808788
693	3.568664131
694	3.564893569
695	3.562703994
696	3.560369822
697	3.559798427
698	3.559663798
699	3.554811336
700	3.552188955
701	3.548237016
702	3.546333231
703	3.545805184
704	3.545045657
705	3.542877095
706	3.538985225
707	3.536290624
708	3.53306947
709	3.532002156
710	3.530180945
711	3.528138384
712	3.524779481
713	3.524426952
714	3.522595105
715	3.521646101
716	3.521580357
717	3.520118438
718	3.516361715
719	3.514330192
720	3.512536744
721	3.510917213
722	3.509663805
723	3.506158912
724	3.504724134
725	3.50276793
726	3.499224609
727	3.495642707
728	3.493776071
729	3.491270802
730	3.490836667
731	3.48766629
732	3.485954174
733	3.482958943
734	3.479076783
735	3.477961248
736	3.475714762
737	3.474618498
738	3.472209059
739	3.471050871
740	3.470244967
741	3.468599292
742	3.466729404
743	3.465805557
744	3.463747729
745	3.462730527
746	3.459873316
747	3.457971456
748	3.456220568
749	3.454233853
750	3.452280969
751	3.452165703
752	3.450053891
753	3.449383114
754	3.449178269
755	3.445788084
756	3.442492027
757	3.440410824
758	3.437677759
759	3.434518274
760	3.433208704
761	3.430193267
762	3.428893589
763	3.427502991
764	3.426211328
765	3.42409385
766	3.423116861
767	3.422160234
768	3.419478388
769	3.419413445
770	3.416729174
771	3.413456451
772	3.411031977
773	3.407912601
774	3.407106518
775	3.406464126
776	3.406410195
777	3.40484458
778	3.404212316
779	3.404040669
780	3.402659697
781	3.402426949
782	3.402178388
783	3.400293328
784	3.399126917
785	3.394470863
786	3.393353322
787	3.390940504
788	3.390897179
789	3.389176415
790	3.386701513
791	3.384199673
792	3.382097318
793	3.380345323
794	3.380050046
795	3.378550048
796	3.376506378
797	3.376411163
798	3.374736921
799	3.371836192
800	3.370769241
801	3.369937964
802	3.368369022
803	3.368035865
804	3.367092232
805	3.365532034
806	3.365459668
807	3.364871618
808	3.363303477
809	3.361086527
810	3.359706727
811	3.357345527
812	3.356176514
813	3.354691041
814	3.353165039
815	3.350286225
816	3.348863887
817	3.346770747
818	3.344790042
819	3.343102218
820	3.340824217
821	3.338550717
822	3.338502823
823	3.33816853
824	3.337985333
825	3.337642583
826	3.335322992
827	3.33360618
828	3.3334447
829	3.332124915
830	3.330092647
831	3.328366551
832	3.326683834
833	3.324438712
834	3.32265027
835	3.32122795
836	3.320255323
837	3.318173702
838	3.31704505
839	3.315015559
840	3.313807867
841	3.312682043
842	3.31144871
843	3.31106411
844	3.309879911
845	3.308914835
846	3.30793721
847	3.306718634
848	3.305209244
849	3.304886574
850	3.300868485
851	3.298495331
852	3.296633992
853	3.295670858
854	3.295616032
855	3.294305581
856	3.292040392
857	3.290981908
858	3.289869476
859	3.288191438
860	3.287973796
861	3.285081271
862	3.282551886
863	3.281597723
864	3.281393438
865	3.280042809
866	3.2795001
867	3.278123085
868	3.277269435
869	3.273955467
870	3.271873442
871	3.270821073
872	3.269245787
873	3.267915795
874	3.264208306
875	3.261163991
876	3.259360847
877	3.259021025
878	3.257300265
879	3.255023801
880	3.253098008
881	3.251620172
882	3.249882996
883	3.246330766
884	3.246260517
885	3.244240647
886	3.243717369
887	3.240896253
888	3.239496185
889	3.236811808
890	3.235551762
891	3.233042182
892	3.232698058
893	3.230556871
894	3.229058129
895	3.225290154
896	3.222651021
897	3.221722948
898	3.221632742
899	3.220507771
900	3.218315971
901	3.216554088
902	3.216526268
903	3.216472424
904	3.21408913
905	3.213831735
906	3.212390561
907	3.211130034
908	3.210063049
909	3.206552618
910	3.206514051
911	3.205432635
912	3.202750394
913	3.202463676
914	3.200832544
915	3.198423216
916	3.195354289
917	3.193695316
918	3.1927029
919	3.191440759
920	3.18858858
921	3.187987257
922	3.186723061
923	3.184979915
924	3.182092136
925	3.178964047
926	3.177955262
927	3.176837867
928	3.175415779
929	3.174644631
930	3.172119401
931	3.169371844
932	3.165768656
933	3.165100974
934	3.162936541
935	3.160231946
936	3.160180165
937	3.157563766
938	3.15591975
939	3.154531938
940	3.151995699
941	3.150865947
942	3.146596869
943	3.146529825
944	3.143380142
945	3.142470518
946	3.140713783
947	3.139086302
948	3.137423202
949	3.13666111
950	3.13573982
951	3.133961305
952	3.132646338
953	3.1306711
954	3.127564448
955	3.127525051
956	3.126357207
957	3.12616831
958	3.12611304
959	3.124579511
960	3.123494825
961	3.121665359
962	3.119241493
963	3.11828706
964	3.11676978
965	3.116212759
966	3.115023362
967	3.114793665
968	3.11382637
969	3.113283787
970	3.113089737
971	3.112095987
972	3.111545188
973	3.110961524
974	3.110518369
975	3.10921922
976	3.108622674
977	3.107792808
978	3.106698187
979	3.105628201
980	3.103414026
981	3.101401564
982	3.098869068
983	3.096575108
984	3.094214558
985	3.092181476
986	3.091174238
987	3.088274949
988	3.085763257
989	3.083970369
990	3.081749072
991	3.081349799
992	3.080466358
993	3.079290273
994	3.078589321
995	3.076553119
996	3.076093924
997	3.074252381
998	3.071364344
999	3.070129685
