iter	MultiClass
232	1.606720471
233	1.602501901
234	1.600515206
235	1.595829227
236	1.590234513
237	1.585515334
238	1.580733459
239	1.576602971
240	1.571516396
241	1.567236707
242	1.562943832
243	1.557361763
244	1.551052316
245	1.546903165
246	1.54271133
247	1.537575601
248	1.533504395
249	1.530748605
250	1.526367902
251	1.52146746
252	1.51634166
253	1.51289657
254	1.507762552
255	1.504008409
256	1.498805197
257	1.494970292
258	1.490739621
259	1.487337045
260	1.482108187
261	1.477430875
262	1.473028633
263	1.468811702
264	1.465011525
265	1.461332774
266	1.457975746
267	1.454425091
268	1.449749955
269	1.446069903
270	1.442722234
271	1.440259074
272	1.435320507
273	1.431200018
274	1.426685304
275	1.42195499
276	1.416666288
277	1.411557042
278	1.40862267
279	1.403373175
280	1.399600044
281	1.396048413
282	1.394031725
283	1.38987209
284	1.385088724
285	1.381855617
286	1.379348563
287	1.377305742
288	1.373504347
289	1.368861636
290	1.365071675
291	1.359841565
292	1.356317455
293	1.354202657
294	1.352317588
295	1.348516429
296	1.344318717
297	1.340641688
298	1.336914007
299	1.332075044
300	1.327556353
301	1.324311883
302	1.321772624
303	1.31788834
304	1.313948613
305	1.309837706
306	1.30624586
307	1.303432954
308	1.301832935
309	1.298655908
310	1.295129081
311	1.290590038
312	1.288477536
313	1.286227199
314	1.283121524
315	1.279562803
316	1.276024598
317	1.272617691
318	1.269706062
319	1.266453548
320	1.263853802
321	1.259566138
322	1.256188867
323	1.252957735
324	1.251271967
325	1.247006504
326	1.244189442
327	1.241771465
328	1.238032244
329	1.235250616
330	1.231593185
331	1.228374131
332	1.225178645
333	1.221689989
334	1.218717621
335	1.214876315
336	1.210989229
337	1.207413513
338	1.203851289
339	1.200817996
340	1.198284859
341	1.195664579
342	1.192110417
343	1.189904863
344	1.189476394
345	1.186414823
346	1.183448052
347	1.17997473
348	1.177505688
349	1.174009687
350	1.171892601
351	1.169675219
352	1.166102442
353	1.162717344
354	1.160001249
355	1.15671608
356	1.153226968
357	1.15046578
358	1.147924631
359	1.144269753
360	1.140620008
361	1.137811459
362	1.135470482
363	1.1325693
364	1.129382981
365	1.128071941
366	1.125229481
367	1.122384992
368	1.11969864
369	1.116345452
370	1.113888593
371	1.111820174
372	1.109160586
373	1.106277499
374	1.103022401
375	1.100141689
376	1.096636112
377	1.094420599
378	1.092083593
379	1.089633419
380	1.086771415
381	1.085693748
382	1.084239386
383	1.080856975
384	1.077955033
385	1.075597056
386	1.073630655
387	1.071507328
388	1.068974484
389	1.067005603
390	1.064794701
391	1.061425602
392	1.058315634
393	1.055818581
394	1.053138381
395	1.050041735
396	1.047165594
397	1.045242281
398	1.042362603
399	1.040181921
400	1.037404463
401	1.035282573
402	1.032194637
403	1.030371881
404	1.028076734
405	1.026111176
406	1.023481023
407	1.021855413
408	1.019285873
409	1.016822733
410	1.01390601
411	1.011361565
412	1.009517138
413	1.006643591
414	1.00497788
415	1.003392753
416	1.00202025
417	0.9995415326
418	0.9970634142
419	0.994289134
420	0.992460451
421	0.9901366339
422	0.9877885474
423	0.9854681059
424	0.9838294486
425	0.9816493347
426	0.9802630768
427	0.9792897098
428	0.9762244336
429	0.9739589761
430	0.9710429563
431	0.9697137108
432	0.9677029091
433	0.9659532346
434	0.9637771144
435	0.9619782924
436	0.9602652771
437	0.9578210213
438	0.9548437569
439	0.9520381562
440	0.9495829553
441	0.9473438256
442	0.9452881593
443	0.9427787564
444	0.9404352725
445	0.9381160499
446	0.9358230845
447	0.9338767614
448	0.9312060957
449	0.9288490473
450	0.9269784976
451	0.9248993691
452	0.9222855364
453	0.9197420427
454	0.9179517191
455	0.9163732046
456	0.914543638
457	0.912363616
458	0.9100576294
459	0.9077475657
460	0.9069290977
461	0.9054718566
462	0.9041442097
463	0.9022741604
464	0.9009164733
465	0.898664446
466	0.8966791397
467	0.89445536
468	0.8925702258
469	0.8904187203
470	0.8892613158
471	0.8878263482
472	0.8862132877
473	0.8844408518
474	0.8835349715
475	0.8816359263
476	0.8800524185
477	0.8778854756
478	0.876062331
479	0.8747737126
480	0.8728263137
481	0.8711297777
482	0.8698517966
483	0.8681490132
484	0.8658825307
485	0.8642941108
486	0.8631405832
487	0.8615863409
488	0.8598045925
489	0.8580203711
490	0.8558701881
491	0.8548337168
492	0.8529783635
493	0.8522645606
494	0.851504744
495	0.8502597891
496	0.8479901976
497	0.8454792568
498	0.8439405645
499	0.8426231259
500	0.8404153213
501	0.8395036117
502	0.8386325596
503	0.8365520574
504	0.8351701312
505	0.8335174
506	0.831980614
507	0.8306853524
508	0.8287721712
509	0.8268625099
510	0.8254031017
511	0.8233389265
512	0.8209122884
513	0.8194849369
514	0.8178675392
515	0.8167995041
516	0.8163973994
517	0.8141397357
518	0.812526352
519	0.8105650044
520	0.8086582216
521	0.8065678561
522	0.8054332547
523	0.804569192
524	0.802994665
525	0.8022620069
526	0.800658567
527	0.7986035343
528	0.7965997128
529	0.7947702914
530	0.7936938479
531	0.7917224256
532	0.7905780871
533	0.7890139923
534	0.7875353012
535	0.7860004619
536	0.7846404701
537	0.7825654742
538	0.7819281047
539	0.7806858498
540	0.7787304313
541	0.7775626581
542	0.7755334586
543	0.7747799038
544	0.7730040281
545	0.7712476809
546	0.7692427424
547	0.7679533753
548	0.7661490452
549	0.7642930407
550	0.7622112914
551	0.7607849286
552	0.7594681838
553	0.7583082942
554	0.7565764117
555	0.7556660074
556	0.7544159015
557	0.7535659066
558	0.7525453144
559	0.7514755327
560	0.7507798615
561	0.7492767567
562	0.7474387797
563	0.7459585772
564	0.7448941073
565	0.743340138
566	0.7418432891
567	0.7400200168
568	0.7385373235
569	0.7375357122
570	0.7367140764
571	0.7353538638
572	0.7344672594
573	0.7328296738
574	0.7318686779
575	0.7309869741
576	0.7297128067
577	0.728181824
578	0.7267289162
579	0.725309418
580	0.7240223656
581	0.7222729335
582	0.7208142902
583	0.7198255174
584	0.7184494521
585	0.7170307396
586	0.7154639592
587	0.7143966304
588	0.7127138082
589	0.7113324005
590	0.7098106599
591	0.7082987266
592	0.7074520197
593	0.7066726562
594	0.7058414237
595	0.7041898266
596	0.7032620522
597	0.7021525615
598	0.7009223563
599	0.6996130198
600	0.6987786529
601	0.6976250411
602	0.6970619268
603	0.6953973303
604	0.6939874234
605	0.6931559126
606	0.6916969612
607	0.6905436262
608	0.6890067592
609	0.6873500571
610	0.6862028414
611	0.6848943292
612	0.6836112478
613	0.6823719326
614	0.6814287608
615	0.6799613889
616	0.678551048
617	0.6782403846
618	0.6769003362
619	0.6758020094
620	0.6744881491
621	0.6739229608
622	0.6731028566
623	0.6719833119
624	0.6713337777
625	0.6705165287
626	0.6690651898
627	0.667546374
628	0.6663126344
629	0.6655445642
630	0.6644410203
631	0.6635509125
632	0.6622522335
633	0.6616119026
634	0.6610826224
635	0.6599798599
636	0.6588647982
637	0.6581823027
638	0.6570734677
639	0.6555764644
640	0.6541332288
641	0.6529573474
642	0.6513802706
643	0.6504966972
644	0.6489026675
645	0.6476516409
646	0.6463636298
647	0.6451012916
648	0.6442427692
649	0.6434299634
650	0.642870302
651	0.6416425355
652	0.6402717265
653	0.6395944532
654	0.6383603262
655	0.6376067512
656	0.6363390746
657	0.6352870162
658	0.634631504
659	0.6336464761
660	0.6329790544
661	0.6316254963
662	0.6303279895
663	0.6289969492
664	0.6276926121
665	0.6267578231
666	0.6261028193
667	0.6248616556
668	0.6241253391
669	0.6235115045
670	0.6226507225
671	0.6216818916
672	0.6203872614
673	0.6198426093
674	0.6189455028
675	0.6180616842
676	0.6173740668
677	0.6159309267
678	0.6154083145
679	0.6142062895
680	0.6131500233
681	0.612480456
682	0.6119479338
683	0.6112868657
684	0.6100833697
685	0.6092177146
686	0.6080065886
687	0.6071174599
688	0.6062468011
689	0.6050931446
690	0.6042006205
691	0.6034006379
692	0.6025511328
693	0.6016796654
694	0.600868428
695	0.6001404527
696	0.598955698
697	0.5978696567
698	0.5968228542
699	0.5957222956
700	0.5948015286
701	0.5937762772
702	0.5924434124
703	0.5918246392
704	0.5912077261
705	0.5900897405
706	0.5890226074
707	0.5881772129
708	0.5874328042
709	0.5865831671
710	0.5857833544
711	0.5847364314
712	0.5836093471
713	0.582561623
714	0.581500494
715	0.5803135886
716	0.5791047872
717	0.5782116144
718	0.5774405387
719	0.5767519046
720	0.5758197985
721	0.5749044369
722	0.5738946419
723	0.5729948955
724	0.5726185514
725	0.5715295292
726	0.5709739749
727	0.5700370831
728	0.5689373883
729	0.5682052192
730	0.5673430112
731	0.5666080491
732	0.5660350657
733	0.5652301919
734	0.5642479297
735	0.5635612948
736	0.5632212101
737	0.562482008
738	0.5615691925
739	0.5610656644
740	0.560390621
741	0.5593728802
742	0.5585696139
743	0.5579293358
744	0.557090786
745	0.5566370224
746	0.5563275907
747	0.555359998
748	0.5542317282
749	0.5534064205
750	0.5524511535
751	0.5515878476
752	0.5507775172
753	0.5495610282
754	0.5486013245
755	0.5477127767
756	0.5471599853
757	0.5460812976
758	0.5455095233
759	0.5443773376
760	0.5434664265
761	0.5428373282
762	0.5422597908
763	0.5413066804
764	0.5407204497
765	0.5397092504
766	0.538949788
767	0.5379587872
768	0.5374401428
769	0.5371512435
770	0.5361915789
771	0.5356033668
772	0.5345915146
773	0.5342223281
774	0.5331081556
775	0.5319542796
776	0.5312943083
777	0.5307718294
778	0.5297943075
779	0.5287630522
780	0.5284140791
781	0.5277250192
782	0.5271321363
783	0.5262930539
784	0.5255910869
785	0.5250452668
786	0.5245076584
787	0.5240684203
788	0.5233385199
789	0.5224239851
790	0.5219833303
791	0.5209644959
792	0.5204529153
793	0.5199401201
794	0.5189637196
795	0.518362996
796	0.5175685471
797	0.5170338474
798	0.5165963487
799	0.5161554334
800	0.5150758663
801	0.5142642645
802	0.5140685969
803	0.5134134994
804	0.5126853618
805	0.5116103602
806	0.5106724485
807	0.5097699375
808	0.5088522205
809	0.5078752438
810	0.5071825548
811	0.5064195636
812	0.5056514441
813	0.5052845578
814	0.5044786504
815	0.5036411928
816	0.5028147328
817	0.5021454087
818	0.5015787036
819	0.5006634438
820	0.4999245899
821	0.4989930526
822	0.4983176569
823	0.4975352486
824	0.4966690393
825	0.4959836322
826	0.495504976
827	0.4947406308
828	0.4942882411
829	0.493471694
830	0.4926645104
831	0.4918977523
832	0.4917071843
833	0.4913148555
834	0.4908803937
835	0.4903284003
836	0.489696114
837	0.4890157944
838	0.4884359822
839	0.487955123
840	0.4873891841
841	0.48689666
842	0.4864605789
843	0.4855818761
844	0.4850136976
845	0.4844200352
846	0.483912433
847	0.483194015
848	0.4826143429
849	0.4818237933
850	0.4812353203
851	0.4807270963
852	0.4799262256
853	0.4791438961
854	0.4784933783
855	0.47807671
856	0.47743777
857	0.4768484548
858	0.4762395393
859	0.4757706302
860	0.4751905028
861	0.4745049216
862	0.4743053395
863	0.4739053618
864	0.4731608171
865	0.4722921175
866	0.4715575053
867	0.4709652117
868	0.470357236
869	0.4701423865
870	0.4694797213
871	0.4691542977
872	0.4686751866
873	0.4680733059
874	0.4676962311
875	0.4669297787
876	0.466159252
877	0.4654520666
878	0.4649941318
879	0.4644451316
880	0.4636827188
881	0.4633254468
882	0.4626876571
883	0.4622036945
884	0.4615600704
885	0.4610018884
886	0.460554789
887	0.4597729044
888	0.459215523
889	0.4586569687
890	0.4581748622
891	0.4575475515
892	0.4569048079
893	0.4561912883
894	0.4553449353
895	0.4550698338
896	0.4544829449
897	0.453808133
898	0.4531517314
899	0.4524604824
900	0.45163764
901	0.4508121747
902	0.4500911915
903	0.4493440269
904	0.4485164092
905	0.4479165162
906	0.4475461384
907	0.4468962697
908	0.4462287554
909	0.445708626
910	0.4451987583
911	0.4450485363
912	0.4445419773
913	0.4440471965
914	0.4438220143
915	0.4431695663
916	0.4425306377
917	0.4421494984
918	0.4417711342
919	0.4413633416
920	0.4407125444
921	0.4403556764
922	0.4398904006
923	0.4394021132
924	0.4390328222
925	0.4385041704
926	0.438065733
927	0.4376974333
928	0.4370019489
929	0.4367158099
930	0.4363039521
931	0.4359514138
932	0.4352598556
933	0.4345224413
934	0.4341462057
935	0.4337402562
936	0.4330037458
937	0.4324400887
938	0.4319811306
939	0.4315394178
940	0.4308804453
941	0.4302356601
942	0.4299043579
943	0.429171879
944	0.4287887482
945	0.4279891461
946	0.4275275482
947	0.4270140747
948	0.4268008103
949	0.4265635684
950	0.4259705855
951	0.4256635782
952	0.4251921381
953	0.4246487603
954	0.4244370837
955	0.4238666468
956	0.4233366514
957	0.4232325716
958	0.4226423778
959	0.4225572023
960	0.4221769476
961	0.4219145861
962	0.4215383114
963	0.4213541139
964	0.4206970638
965	0.4200194926
966	0.4194357642
967	0.4189620517
968	0.4184182411
969	0.41819875
970	0.4176460383
971	0.4170186077
972	0.4165054936
973	0.4160074876
974	0.41558636
975	0.4151022461
976	0.4148714354
977	0.4142713548
978	0.4136735137
979	0.4131382378
980	0.4126440582
981	0.4120686601
982	0.4115340577
983	0.4109396276
984	0.4104798638
985	0.4100592247
986	0.4095637507
987	0.4090450836
988	0.4085196732
989	0.4083206818
990	0.4077679842
991	0.4073435284
992	0.406770441
993	0.4063354943
994	0.4060907066
995	0.4055453497
996	0.4049218574
997	0.4045735954
998	0.4040721974
999	0.403713227
